,Unnamed: 0,SMILES,rate of thermal isomerisation from Z-E in s-1,Solvent used for thermal isomerisation rates,Z PhotoStationaryState,E PhotoStationaryState,E isomer pi-pi* wavelength in nm,Extinction,E isomer n-pi* wavelength in nm,Extinction coefficient in M-1 cm-1,Z isomer pi-pi* wavelength in nm,Extinction.1,Z isomer n-pi* wavelength in nm,Extinction coefficient in M-1 cm-1.1,Wiberg index,E-Z irradiation wavelength in nm,Z-E irradiation wavelength,Irradiation solvent,PBE0 DFT E isomer pi-pi* wavelength in nm,PBE0 DFT E isomer n-pi* wavelength in nm,PBE0 DFT Z isomer pi-pi* wavelength in nm,PBE0 DFT Z isomer n-pi* wavelength in nm,TPSSh/6-31G** DFT E isomer pi-pi* wavelength in nm,TPSSh/6-31G** DFT E isomer n-pi* wavelength in nm,TPSSh/6-31G** DFT Z isomer pi-pi* wavelength in nm,TPSSh/6-31G** DFT Z isomer n-pi* wavelength in nm,CAM-B3LYP/6-31G** DFT E isomer pi-pi* wavelength in nm,CAM-B3LYP/6-31G** DFT E isomer n-pi* wavelength in nm,CAM-B3LYP/6-31G** DFT Z isomer pi-pi* wavelength in nm,CAM-B3LYP/6-31G** DFT Z isomer n-pi* wavelength in nm,BHLYP/6-31G* DFT E isomer pi-pi* wavelength in nm,BHLYP/6-31G* DFT E isomer n-pi* wavelength in nm,BHLYP/6-31G* Z isomer pi-pi* wavelength in nm,BHLYP/6-31G* DFT Z isomer n-pi* wavelength in nm
109,142,CN(C)C1=CC=C(/N=N/C2=CC=CC=C2)C=C1,,,,,408.0,,,,,,,,,,,MeOH,427.0,,,,,,,,397.0,,,,,,,
110,36,FC1=CC=CC(F)=C1/N=N/C2=CC=C(C(OCC)=O)C=C2,9.16861e-06,MeCN at 60C,75.0,88.0,316.0,22000.0,453.0,700.0,255.0,,417.0,1000.0,,>500,410,MeCN,,,,,,,,,354.0,523.0,326.0,471.0,,,,
111,194,CN(C)C(C=C1)=CC=C1/N=N/C2=CC=C([N+]([O-])=O)C=C2,,,,,473.0,,,,,,,,,,,EtOH,522.0,,,,,,,,451.0,,,,,,,
112,69,CC1=C(C(C)=NN1)/N=N/C2=C(Br)C=CC=C2,0.0042899999999999,,88.0,72.0,340.0,,424.0,,289.0,,431.0,,,365,CFL white light,MeCN,,,,,,,,,,,,,,,,
113,171,OC(C=C(O)C=C1)=C1/N=N/C2=CC=CC=C2,,,,,400.0,,,,,,,,,,,MeOH,382.0,,,,,,,,360.0,,,,,,,
114,89,CC1=NOC(C)=C1/N=N/C2=CC=C(F)C=C2,,,,,318.0,,421.0,,296.0,,428.0,,,,,MeCN,,,,,,,,,,,,,,,,
115,170,O=[N+]([O-])C1=C(/N=N/C2=C([N+]([O-])=O)C=CC=C2)C=CC=C1,,,,,323.0,,,,,,,,,,,Chl,354.0,,,,,,,,327.0,,,,,,,
116,261,CC(C=C(N(CCC#N)CCO)C=C1)=C1/N=N/C2=CC(F)=CC=C2,,,,,415.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,326,CC(S1)=CC=C1/N=N/C2=CC=C(C(F)(F)F)C=C2,,,,,378.0,,,,326.0,,392.0,,,,,,,,,,,,,,,,,,,,,
118,221,[H]C9=C(N%10CCCC%10)C=CC(/N=N/C%11=CC=C(N%12CCCC%12)C([H])=C%11)=C9,,,,,431.0,,,,,,,,,,,Alk,,,,,,,,,,,,,,,,
119,333,Cc1[nH]c2c(c1N=Nc1nncs1)cccc2,,,,,428.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,150,ClC1=CC=CC(/N=N/C2=CC=CC(Cl)=C2)=C1,,,,,320.0,,435.0,,,,,,,,,EtOH,346.0,479.0,,,,,,,322.0,440.0,,,,,,
121,381,OC7=C(N=CC=C8)C8=C(/N=N/C9=CC=C(OC%10=CC=CC=C%10)C=C9)C=C7,,,,,395.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,195,O=[N+]([O-])C(C=C1)=CC=C1/N=N/C2=CC=C(NC3=CC=CC=C3)C=C2,,,,,483.0,,,,,,,,,,,Wat,536.0,,,,,,,,452.0,,,,,,,
123,377,CSC7=CC=CC=C7N=NC8=NC9=CC=C([N+]([O-])=O)C=C9S8,,,,,340.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,168,CN(C)C(C=C1)=CC=C1/N=N/C2=C(C(O)=O)C=CC=C2,,,,,410.0,,,,,,,,,,,MeOH,465.0,,,,,,,,434.0,,,,,,,
125,232,[H]C1=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C1/N=N/C2=CC([H])=C(C=C2[H])N(CC)CC,,,,,532.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,152,CC1=CC=CC(/N=N/C2=CC=CC(C)=C2)=C1,,,,,331.0,,447.0,,,,,,,,,Chl,345.0,480.0,,,,,,,330.0,444.0,,,,,,
127,113,CC1=C(/N=N/C2=C(F)C=CC=C2F)C(C)=NO1,,,,,309.0,,419.0,,305.0,,419.0,,,,,MeCN,,,,,,,,,,,,,,,,
128,1,C[N]1C=NC(=N1)N=NC2=CC=CC=C2,3.8e-07,MeCN,90.0,84.0,310.0,1.87,438.0,0.0505,272.0,0.489,434.0,0.127,1.899,355,532,MeCN,306.0,473.0,284.0,448.0,,,,,,,,,,,,
129,258,CC(C=C(N(CCC#N)CCO)C=C1)=C1/N=N/C2=CC=CC(Cl)=C2,,,,,410.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,236,[H]C1=C(C=C([H])C(/N=N/C2=C(C#N)C=C([N+]([O-])=O)C=C2C#N)=C1)N(CC)CC,,,,,592.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,391,OC4=C5N=CC=CC5=C(/N=N/C6=NC=C(C)S6)C=C4,,,,,436.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,110,CC1=C(/N=N/C2=C(Cl)C=CC=C2Cl)C(C)=NO1,,,,,297.0,,429.0,,292.0,,421.0,,,,,MeCN,,,,,,,,,,,,,,,,
133,204,CCN(CC)C(C=C1)=CC=C1/N=N/C2=C(C#N)C=C(C#N)C=C2,,,,,515.0,,,,,,,,,,,EtOH,484.0,,,,,,,,453.0,,,,,,,
134,235,ClC1=CC([N+]([O-])=O)=CC(C#N)=C1/N=N/C2=CC([H])=C(C=C2[H])N(CC)CC,,,,,551.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,19,[H]C(C=C1)=CC=C1N=NC2=NNC=C2,,,,,324.0,,,,,,423.0,,,,,,,,,,,,,,,,,,,,,
136,223,COC%17=CC(/N=N/C%18=CC(OC)=C(N%19CCCC%19)C=C%18)=CC=C%17N%20CCCC%20,,,,,452.0,,,,,,,,,,,Alk,,,,,,,,,,,,,,,,
137,14,CN1C(/N=N/C2=CC=CC=C2)=CN=C1,1.2e-06,MeCN,98.0,45.0,362.0,2.58,,,,,,,1.81,365,455,MeCN,343.0,438.0,301.0,426.0,,,,,,,,,,,,
138,375,COC1=CC=CC=C1N=NC2=NC3=CC=C([N+]([O-])=O)C=C3S2,,,,,337.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,97,CC1=NOC(C)=C1/N=N/C2=CC(O)=CC=C2,,,,,313.0,,418.0,,288.0,,432.0,,,,,MeCN,,,,,,,,,,,,,,,,
140,272,CC(C=C(N(CCC#N)CCO)C=C1)=C1/N=N/C2=CC(C(O)C)=CC=C2,,,,,405.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
141,251,CC(C=C(N(CCC#N)CCO)C=C1)=C1/N=N/C2=CC=CC=C2,,,,,403.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,316,OCCN(CCC#N)C(C=C%13)=CC=C%13/N=N/C%14=CC=C([N+]([O-])=O)C=C%14,,,,,451.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,250,CCN(C%13=C(OC)C=C(/N=N/C%14=C(C#N)C=C([N+]([O-])=O)C=C%14C#N)C=C%13)CC,,,,,623.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,300,[H]N(CCC#N)C(C=C7)=CC=C7/N=N/C8=CC=CC=C8,,,,,390.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,380,OC4=C(N=CC=C5)C5=C(/N=N/C6=CC=C(C)C=C6)C=C4,,,,,390.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,315,OCCN(CCO)C(C=C%11)=CC=C%11/N=N/C%12=CC=C([N+]([O-])=O)C=C%12,,,,,475.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,372,OCC%25=CC(N=NC%26=NC%27=CC=C([N+]([O-])=O)C=C%27S%26)=CC=C%25,,,,,341.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,106,CC1=NOC(C)=C1/N=N/C2=CC(NC(C)=O)=CC=C2,,,,,315.0,,429.0,,295.0,,429.0,,,,,MeCN,,,,,,,,,,,,,,,,
149,279,ClC1=CC(/N=N/C2=CC=C(NCCC#N)C=C2)=CC=C1,,,,,408.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,365,O=[N+]([O-])C4=CC=C(N=C(N=NC5=CC=CC=C5C(O)=O)S6)C6=C4,,,,,335.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,216,OC(C([N+]([O-])=O)=CC([N+]([O-])=O)=C1)=C1/N=N/C2=CC(C)=CC(NC(C)=O)=C2O,,,,,400.0,,,,,,,,,,,Wat,478.0,,,,,,,,402.0,,,,,,,
152,312,[H]N(CCO)C(C=C5)=CC=C5/N=N/C6=CC=C([N+]([O-])=O)C=C6,,,,,463.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,213,CC1=C(/N=N/C2=CC=C(N(C)C)C=C2C)C=CC(C)=C1,,,,,399.0,,,,,,,,,,,CH,426.0,,,,,,,,408.0,,,,,,,
154,191,CN(C)C(C=C1)=CC=C1/N=N/C2=CC=C(N(C)C)C=C2,,,,,455.0,,,,,,,,,,,EtOH,461.0,,,,,,,,427.0,,,,,,,
155,151,FC1=CC=CC(/N=N/C2=CC=CC(F)=C2)=C1,,,,,320.0,,435.0,,,,,,,,,EtOH,345.0,478.0,,,,,,,322.0,439.0,,,,,,
156,297,[H]N(C)C(C=C1)=CC=C1/N=N/C2=CC=CC=C2,,,,,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,313,[H]N(CCC#N)C(C=C7)=CC=C7/N=N/C8=CC=C([N+]([O-])=O)C=C8,,,,,443.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,311,[H]N(CC)C(C=C3)=CC=C3/N=N/C4=CC=C([N+]([O-])=O)C=C4,,,,,468.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,371,O=[N+]([O-])C%22=CC=C(N=C(N=NC%23=CC=C([N+]([O-])=O)C=C%23)S%24)C%24=C%22,,,,,332.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,165,BrC1=CC(Br)=CC(Br)=C1/N=N/C2=C(Br)C=C(Br)C=C2Br,,,,,302.0,,474.0,,,,,,,,,EtOH,328.0,529.0,,,,,,,298.0,492.0,,,,,,
161,354,C12=CC=CC=C1N=C(/N=N/C3=NC4=CC=CC=C4S3)S2,,,,,421.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,229,NC1=C(OC)C=C(/N=N/C2=C([H])C=C([N+]([O-])=O)C=C2[H])C([H])=C1,,,,,488.0,,,,,,,,,,,EtOH,,,,,,,,,,,,,,,,
163,385,OC%20=C(N=CC=C%21)C%21=C(/N=N/C%22=CC=C(C(O)=O)C=C%22)C=C%20,,,,,503.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,355,[H]C1=CC=C(N=C(N=NC2=CC=CC=C2)S3)C3=C1,,,,,328.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,188,OCCNC(C=C1)=CC=C1/N=N/C2=CC=C([N+]([O-])=O)C=C2,,,,,503.0,,,,,,,,,,,EtOH,532.0,,,,,,,,462.0,,,,,,,
166,109,CC1=C(/N=N/C2=CC(Cl)=CC=C2Cl)C(C)=NO1,,,,,320.0,,430.0,,298.0,,427.0,,,,,MeCN,,,,,,,,,,,,,,,,
167,21,FC1=CC=CC=C1N=NC2=NNC=C2,,,,,328.0,,,,,,421.0,,,,,,,,,,,,,,,,,,,,,
168,330,FC(F)(F)C1=CC=C(/N=N/C2=CC=CS2)C=C1,,,,,362.0,,,,285.0,,433.0,,,,,,,,,,,,,,,,,,,,,
169,378,CSC(C=C%10)=CC=C%10N=NC%11=NC%12=CC=C([N+]([O-])=O)C=C%12S%11,,,,,421.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,70,CC1=C(C(C)=NN1)/N=N/C2=CC(Br)=CC=C2,0.0587,,86.0,73.0,335.0,,416.0,,296.0,,437.0,,,365,CFL white light,MeCN,,,,,,,,,,,,,,,,
171,189,NC1=CC=C(/N=N/C2=CC=C(N(C)C)C=C2)C=C1,,,,,410.0,,,,,,,,,,,EtOH,446.0,,,,,,,,414.0,,,,,,,
172,163,CC1=C(Cl)C=CC=C1/N=N/C2=C(C)C(Cl)=CC=C2,,,,,329.0,,461.0,,,,,,,,,CH,341.0,495.0,,,,,,,325.0,471.0,,,,,,
173,247,[H]C7=CC([N+]([O-])=O)=CC(C#N)=C7/N=N/C8=CC(OC)=C(C=C8)N(CC)CC,,,,,555.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,301,CC9=CC(NCCC#N)=CC=C9/N=N/C%10=CC=CC=C%10,,,,,396.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,72,CC1=C(C(C)=NN1)/N=N/C2=CC(O)=CC=C2,0.00288,,86.0,69.0,330.0,,412.0,,292.0,,437.0,,,365,CFL white light,MeCN,,,,,,,,,,,,,,,,
176,3,C[N]1C=C(C)C(=N1)N=NC2=CC=CC=C2,1.5e-06,MeCN,96.0,87.0,325.0,1.74,428.0,0.0612,286.0,0.515,438.0,0.136,1.874,355,532,MeCN,317.0,458.0,302.0,461.0,,,,,,,,,,,,
177,160,CC1=C(/N=N/C2=CC=C(C)C=C2C)C=CC(C)=C1,,,,,346.0,,458.0,,,,,,,,,CH,374.0,500.0,,,,,,,360.0,474.0,,,,,,
178,252,CC(C=C(N(CCC#N)CCO)C=C1)=C1/N=N/C2=CC=CC=C2[N+]([O-])=O,,,,,429.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,181,CC(C=C1)=CC=C1/N=N/C2=CC=C(N(C)C)C=C2,,,,,400.0,,,,,,,,,,,CH,409.0,,,,,,,,389.0,,,,,,,
180,343,CCc1nnc(s1)N=Nc1c([nH]c2c1cccc2)c1ccccc1,,,,,440.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,128,BrC1=CC=C(/N=N/C2=CC=CC=C2)C=C1,,,,,329.0,,448.0,,,,,,,,,EtOH,355.0,478.0,,310.0,463.0,,,,329.0,440.0,283.0,446.0,,,,
182,199,CC1=C(/N=N/C2=C(C)C=C(C=C2)N(C)C)C=CC=C1,,,,,400.0,,,,,,,,,,,CH,424.0,,,,,,,,406.0,,,,,,,
183,65,CC1=C(C(C)=NN1)/N=N/C2=CC=C(F)C=C2,0.00162,,85.0,96.0,330.0,,426.0,,293.0,,436.0,,,365,CFL white light,MeCN,,,,,,,,,,,,,,,,
184,274,CC(C=C(N(CCC#N)CCO)C=C1)=C1/N=N/C2=CC=C(C(C)=O)C=C2,,,,,412.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,115,CC1=C(/N=N/C2=CC=CC(N)=C2)C(C)=NO1,,,,,315.0,,373.0,,290.0,,428.0,,,,,MeCN,,,,,,,,,,,,,,,,
186,321,N#CCCN(CCC#N)C(C=C%23)=CC=C%23/N=N/C%24=CC=C([N+]([O-])=O)C=C%24,,,,,432.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,98,CC1=NOC(C)=C1/N=N/C2=CC(C(F)(F)F)=CC=C2,,,,,314.0,,418.0,,308.0,,426.0,,,,,MeCN,,,,,,,,,,,,,,,,
188,120,BrC1=CC=CC=C1/N=N/C2=CC=CC=C2,,,,,326.0,,,,,,,,,,,EtOH,357.0,,,,,,,,331.0,,,,,,,
189,177,CN(C)C1=CC=C(/N=N/C2=CC=C(C(F)(F)F)C=C2)C=C1,,,,,427.0,,,,,,,,,,,EtOH,443.0,,,,,,,,408.0,,,,,,,
190,64,CC1=C(C(C)=NN1)/N=N/C2=CC(F)=CC=C2,0.00185,,87.0,74.0,334.0,,417.0,,292.0,,437.0,,,365,CFL white light,MeCN,,,,,,,,,,,,,,,,
191,129,FC(F)(F)C1=CC=C(/N=N/C2=CC=CC=C2)C=C1,,,,,315.0,,450.0,,,,,,,,,Alk,339.0,489.0,,,,,,,327.0,455.0,,,,,,
192,233,[H]C1=CC([N+]([O-])=O)=CC(C#N)=C1/N=N/C2=CC([H])=C(C=C2[H])N(CC)CC,,,,,542.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,9,CC(N(C)C(C)=C1C)=C1/N=N/C2=CC=CC=C2,0.0007599999999999,MeCN,85.0,98.0,345.0,1.66,410.0,,300.0,0.52,462.0,0.332,1.822,355,532,MeCN,344.0,441.0,340.0,468.0,,,,,,,,,,,,
194,101,CC1=NOC(C)=C1/N=N/C2=CC(OC)=CC=C2,,,,,312.0,,423.0,,289.0,,430.0,,,,,MeCN,,,,,,,,,,,,,,,,
195,96,CC1=NOC(C)=C1/N=N/C2=CC=C(I)C=C2,,,,,330.0,,424.0,,295.0,,432.0,,,,,MeCN,,,,,,,,,,,,,,,,
196,290,CC1=CC=CC=C1/N=N/C2=CC=C(NCCC#N)C=C2,,,,,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,388,OC%29=C(N=CC=C%30)C%30=C(/N=N/C%31=CC=C(C#N)C=C%31)C=C%29,,,,,413.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,286,N#CCCNC(C=C1)=CC=C1/N=N/C2=CC=C(C#N)C=C2,,,,,428.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,323,COC(S1)=CC=C1/N=N/C2=CC=CC=C2,,,,,394.0,,,,345.0,,400.0,,,,,,,,,,,,,,,,,,,,,
200,184,NC1=CC=C(/N=N/C2=CC=C(N(CC)CC)C=C2)C=C1,,,,,412.0,,,,,,,,,,,EtOH,449.0,,,,,,,,418.0,,,,,,,
201,141,CNC1=CC=C(/N=N/C2=CC=CC=C2)C=C1,,,,,380.0,,,,,,,,,,,CH,400.0,,,,,,,,386.0,,,,,,,
202,172,OC(C=CC(C)=C1)=C1/N=N/C2=CC=CC=C2,,,,,330.0,,,,,,,,,,,Benz,403.0,,,,,,,,309.0,,,,,,,
203,281,FC1=CC=CC=C1/N=N/C2=CC=C(NCCC#N)C=C2,,,,,404.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,327,N#CC(S1)=CC=C1/N=N/C2=CC=CC=C2,,,,,367.0,,,,301.0,,465.0,,,,,,,,,,,,,,,,,,,,,
205,254,CC(C=C(N(CCC#N)CCO)C=C1)=C1/N=N/C2=CC=C([N+]([O-])=O)C=C2,,,,,461.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,20,BrC(C=C1)=CC=C1N=NC2=NNC=C2,,,,,331.0,,,,,,421.0,,,,,,,,,,,,,,,,,,,,,
207,349,Oc1c(/C=N/c2cc(C(O)=O)ccn2)cc(/N=N/c3ccc([N+]([O-])=O)cc3)cc1,,,,,378.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,108,CC1=C(/N=N/C2=C3C=CC=CC3=CC=C2)C(C)=NO1,,,,,362.0,,439.0,,342.0,,440.0,,,,,MeCN,,,,,,,,,,,,,,,,
209,271,CC(C=C(N(CCC#N)CCO)C=C1)=C1/N=N/C2=CC=C(C)C=C2,,,,,402.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
210,217,OC(C([N+]([O-])=O)=CC([N+]([O-])=O)=C1)=C1/N=N/C2=CC(Cl)=C(N)C=C2N,,,,,492.0,,,,,,,,,,,Wat,525.0,,,,,,,,460.0,,,,,,,
211,340,CSc1nnc(s1)N=Nc1c(c2ccccc2)n(c2c1cccc2)C,,,,,459.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,57,CC1=C(/N=N/C2=CC=CC=C2)C=NC=C1,1.92541e-06,toluene,72.0,83.0,322.0,14151.0,455.0,328.0,,,436.0,,,365,440,toluene,,,,,,,,,,,,,,,,
213,285,N#CCCNC(C=C1)=CC=C1/N=N/C2=CC=CC=C2C#N,,,,,429.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
214,341,CC1=C(/N=N/C2=NN=C(CC)S2)C3=CC=CC=C3N1,,,,,420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
215,366,ClC7=CC=CC=C7N=NC8=NC9=CC=C([N+]([O-])=O)C=C9S8,,,,,343.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
216,0,C[N]1N=NC(=N1)N=NC2=CC=CC=C2,2.1e-07,MeCN,76.0,72.0,310.0,1.67,442.0,0.0373,290.0,0.243,428.0,0.1009999999999999,1.896,355,532,MeCN,305.0,480.0,286.0,448.0,,,,,,,,,,,,
217,361,[H]C%19=CC=C(N=C(N=NC%20=CC=C(OC)C=C%20)S%21)C%21=C%19,,,,,361.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
218,212,CC1=C(/N=N/C2=CC=C(N(C)C)C=C2C)C=C([N+]([O-])=O)C=C1,,,,,425.0,,,,,,,,,,,CH,434.0,,,,,,,,417.0,,,,,,,
219,278,ClC1=CC=CC=C1/N=N/C2=CC=C(NCCC#N)C=C2,,,,,408.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
220,116,CC1=C(/N=N/C2=CC=CC=C2C#N)C(C)=NO1,,,,,325.0,,431.0,,304.0,,434.0,,,,,MeCN,,,,,,,,,,,,,,,,
221,127,O=[N+]([O-])C1=CC(/N=N/C2=CC=CC=C2)=CC=C1,,,,,327.0,,,,,,,,,,,Wat,340.0,,,,,,,,322.0,,,,,,,
222,68,CC1=C(C(C)=NN1)/N=N/C2=CC=C(Cl)C=C2,0.0016699999999999,,90.0,94.0,336.0,,430.0,,295.0,,439.0,,,365,CFL white light,MeCN,,,,,,,,,,,,,,,,
223,329,N#CC1=CC=C(/N=N/C2=CC=CS2)C=C1,,,,,370.0,,,,290.0,,,,,,,,,,,,,,,,,,,,,,,
224,393,OC%11=C%12N=CC=CC%12=C(/N=N/C%13=NC(CC(OCC)=O)=CS%13)C=C%11,,,,,438.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,214,CC1=CC(N(CC)CC)=CC=C1/N=N/C2=C(C#N)C=C(C#N)C=C2C#N,,,,,562.0,,,,,,,,,,,EtOH,496.0,,,,,,,,483.0,,,,,,,
226,75,CC1=C(C(C)=NN1)/N=N/C2=CC=C(C(F)(F)F)C=C2,0.0296,,79.0,80.0,334.0,,392.0,,297.0,,436.0,,,365,CFL white light,MeCN,,,,,,,,,,,,,,,,
227,255,CC(C=C(N(CCC#N)CCO)C=C1)=C1/N=N/C2=CC=CC=C2Br,,,,,417.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
228,234,BrC1=CC([N+]([O-])=O)=CC([N+]([O-])=O)=C1/N=N/C2=CC([H])=C(C=C2[H])N(CC)CC,,,,,540.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,161,CC1=C(/N=N/C2=CC(C)=CC=C2C)C=C(C)C=C1,,,,,336.0,,463.0,,,,,,,,,CH,370.0,510.0,,,,,,,354.0,483.0,,,,,,
230,166,CC1=CC(C)=CC(C)=C1/N=N/C2=C(C)C=C(C)C=C2C,,,,,325.0,,465.0,,,,,,,,,Alk,344.0,503.0,,,,,,,316.0,479.0,,,,,,
231,82,CC1=C(C(C)=NN1)/N=N/C2=CC(C(O)=O)=CC=C2,0.0304,,81.0,65.0,332.0,,419.0,,295.0,,435.0,,,365,CFL white light,MeCN,,,,,,,,,,,,,,,,
232,86,CC1=NOC(C)=C1/N=N/C2=CC=CC=C2,,,65.0,81.0,315.0,,422.0,,302.0,,428.0,,,,,MeCN,,,,,,,,,334.0,,291.0,485.0,,,,
233,176,ClC(C=C1)=CC=C1/N=N/C2=CC=C(N(C)C)C=C2,,,,,416.0,,,,,,,,,,,EtOH,435.0,,,,,,,,404.0,,,,,,,
